Caiocelo,165,VARIAVEL,1,101.0,2025-09-01 18:21:49
,380,MEMORIA,0,30.0,2025-09-01 18:23:07
maraio,265,DIOGENES,1,34.0,2025-09-01 18:24:10
marcelinho,340,ALGORITMO,0,63.0,2025-09-01 18:31:11
ççç,325,COMPUTADOR,1,24.0,2025-09-01 18:34:42
teste,550,PROCESSADOR,0,6.0,2025-09-02 20:59:38
teste2,550,PROGRAMADOR,0,15.0,2025-09-02 21:00:37
